"","Germ_date","Trans_date","Unique_ID","Host_code","Population","Euphrasia_sp","Leaf collected","Indumentum","Flower colour","Purple flushed","Node","Flower date","Height","Corolla size","Teeth","Branches","Leaf length","Internode length","Cauline ratio","Euphrasia_sp2","Population2"
"455","09/04/2018","19/04/2018","A81","PLA","A1766","Euphrasia anglica",1,1,"W","0","10",2018-07-17,23.8,"7.6","3","0","5.2","2.7","0.519230769","Euphrasia anglica","A1766"
"456","17/04/2018","26/04/2018","B1258","PLA","R1762","Euphrasia rostkoviana",1,1,"W","0","8",2018-07-17,32.6,"7.6","3","0","4.6","4.8","1.043478261","Euphrasia rostkoviana","R1762"
"457","10/04/2018","19/04/2018","A258","VCH","M1769","Euphrasia micrantha",0,0,"W","1","8",2018-07-18,20.3,"4.7","2","0","2.3","4.6","2","Euphrasia micrantha","M1769"
"458","20/04/2018","01/05/2018","A1506","VCH","M1768","Euphrasia micrantha",0,0,"V","1","8",2018-07-17,43,"6.6","3","2","3.6","6.3","1.75","Euphrasia micrantha","M1768"
"459","20/04/2018","01/05/2018","A1518","DFL","M1769","Euphrasia micrantha",0,0,"W","1","8",2018-07-18,30.7,"4.4","1","0","3.3","7.5","2.272727273","Euphrasia micrantha","M1769"
"460","20/04/2018","01/05/2018","A1294","LPE","T1761","Euphrasia vigursii",0,1,"W","1","10",2018-07-17,54.5,"6.1","5","0","7.2","6.7","0.930555556","Euphrasia tetraquetra","T1761"
"461","13/04/2018","23/04/2018","A565","LPE","A1763","Euphrasia anglica",0,1,"W","0","9",2018-07-17,28.9,"8.9","5","2","7.5","3.8","0.506666667","Euphrasia anglica","A1766"
"462","17/04/2018","26/04/2018","B1216","HLA","R1764","Euphrasia rostkoviana",1,1,"W","0","8",2018-07-20,18.7,"7.8","4","0","5.5","1.9","0.345454545","Euphrasia rostkoviana","R1764"
"463","17/04/2018","26/04/2018","A1016","DFL","A1766","Euphrasia anglica",0,1,"W","0","11",2018-07-18,25,"10.2","4","3","8","2.8","0.35","Euphrasia anglica","A1766"
"464","30/04/2018","02/05/2018","B1919","PLA","M1787","Euphrasia montana",1,1,"W","0","9",2018-07-20,46.8,"8.7","3","0","3.7","2.4","0.648648649","Euphrasia montana","M1787"
"465","17/04/2018","26/04/2018","A904","HLA","A1763","Euphrasia anglica",1,1,"W","0","9",2018-07-19,15.4,"8.3","3","1","5.9","1.3","0.220338983","Euphrasia anglica","A1766"
"466","13/04/2018","23/04/2018","A579","PLA","A1763","Euphrasia anglica",1,1,"W","0","9",2018-07-20,20.3,"7.5","4","1","6.3","2.4","0.380952381","Euphrasia anglica","A1766"
"467","13/04/2018","23/04/2018","A518","LPE","T1761","Euphrasia vigursii",0,1,"W","1","11",2018-07-18,52.4,"5.7","5","0","6.1","5.5","0.901639344","Euphrasia tetraquetra","T1761"
"468","09/05/2018","10/05/2018","A1976","LPE","V1761","Euphrasia vigursii",0,1,"V","0","8",2018-07-19,48.4,"7.1","4","1","6.8","6.9","1.014705882","Euphrasia vigursii","V1761"
"469","20/04/2018","01/05/2018","B1613","PLA","R1786","Euphrasia rivularis",1,1,"W","0","8",2018-07-20,19.2,"6.3","2","0","3.5","2.8","0.8","Euphrasia rivularis","R1786"
"470","17/04/2018","26/04/2018","A1084","PMA","M1768","Euphrasia micrantha",0,0,"V","1","9",2018-07-20,30.2,"5.4","3","0","3.3","3.8","1.151515152","Euphrasia micrantha","M1768"
"471","17/04/2018","26/04/2018","A774","LCO","T1761","Euphrasia vigursii",0,1,"W","1","11",2018-07-19,40.7,"5.7","4","0","4.6","3.1","0.673913043","Euphrasia tetraquetra","T1761"
"472","17/04/2018","26/04/2018","A1121","HLA","M1769","Euphrasia micrantha",1,0,"W","0","7",2018-07-17,11.4,"3.8","2","0","1.8","1.2","0.666666667","Euphrasia micrantha","M1769"
"473","09/04/2018","19/04/2018","A39","PMA","T1761","Euphrasia vigursii",0,1,"W","1","11",2018-07-19,48.8,"5.4","4","0","4.7","3.3","0.70212766","Euphrasia tetraquetra","T1761"
"474","17/04/2018","26/04/2018","A860","LPE","V1761","Euphrasia vigursii",0,1,"V","1","9",2018-07-19,46.8,"6.9","4","2","5.4","6.4","1.185185185","Euphrasia vigursii","V1761"
"475","17/04/2018","26/04/2018","A1135","OVU","M1769","Euphrasia micrantha",0,0,"W","1","7",2018-07-20,14.3,"5.2","2","0","2.1","2.3","1.095238095","Euphrasia micrantha","M1769"
"476","20/04/2018","01/05/2018","A1411","VCH","A1763","Euphrasia anglica",0,1,"W","0","9",2018-07-19,19.2,"8.5","4","3","4.8","2.9","0.604166667","Euphrasia anglica","A1766"
"477","10/04/2018","19/04/2018","A176","ACU","T1761","Euphrasia vigursii",0,1,"W","1","10",2018-07-19,46.4,"6.2","4","0","4.9","8.3","1.693877551","Euphrasia tetraquetra","T1761"
"478","17/04/2018","26/04/2018","A871","ACU","A1763","Euphrasia anglica",0,1,"W","0","8",2018-07-20,17,"6.8","3","1","4.6","3.3","0.717391304","Euphrasia anglica","A1766"
"479","13/04/2018","26/04/2018","A535","ACU","A1763","Euphrasia anglica",0,1,"W","0","8",2018-07-20,18.6,"9.1","3","0","4.3","2","0.465116279","Euphrasia anglica","A1766"
"480","20/04/2018","01/05/2018","A1561","FOV","M1767","Euphrasia micrantha",0,1,"W","0","6",2018-07-17,16.5,"5.3","2","0","3","4.5","1.5","Euphrasia micrantha","M1767"
"481","11/04/2018","23/04/2018","B461","HLA","R1764","Euphrasia rostkoviana",1,1,"W","0","10",2018-07-20,26.7,"6.3","4","0","5.9","3.1","0.525423729","Euphrasia rostkoviana","R1764"
"482","11/04/2018","23/04/2018","A369","LPE","T1761","Euphrasia vigursii",0,1,"W","0","9",2018-07-19,38.7,"5.5","4","0","6.8","4.5","0.661764706","Euphrasia tetraquetra","T1761"
"483","09/04/2018","19/04/2018","B129","HLA","R1765","Euphrasia rostkoviana",1,1,"W","0","11",2018-07-20,38.5,"8.1","4","0","5.6","5.1","0.910714286","Euphrasia rostkoviana","R1765"
"484","03/05/2018","10/05/2018","A1947","HLA","A1763","Euphrasia anglica",1,1,"W","0","9",2018-07-21,24.2,"8.9","4","3","7.6","4.1","0.539473684","Euphrasia anglica","A1766"
"485","17/04/2018","26/04/2018","A868","ACU","A1763","Euphrasia anglica",1,1,"W","0","8",2018-07-22,18.5,"8.5","3","0","5.2","2.5","0.480769231","Euphrasia anglica","A1766"
"486","20/04/2018","01/05/2018","B1581","PLA","R1764","Euphrasia rostkoviana",1,1,"W","0","8",2018-07-24,19.5,"8.9","4","0","5.2","2.2","0.423076923","Euphrasia rostkoviana","R1764"
"487","17/04/2018","26/04/2018","A1088","PMA","M1768","Euphrasia micrantha",0,0,"V","1","7",2018-07-24,24.8,"4.5","2","0","2.5","4.9","1.96","Euphrasia micrantha","M1768"
"488","17/04/2018","26/04/2018","A967","PMA","A1763","Euphrasia anglica",0,1,"W","0","8",2018-07-24,16,"8.3","3","1","4.8","2.3","0.479166667","Euphrasia anglica","A1766"
"489","09/04/2018","19/04/2018","A17","LPE","T1761","Euphrasia vigursii",0,1,"W","1","11",2018-07-24,61.4,"4.7","5","0","7.3","6.1","0.835616438","Euphrasia tetraquetra","T1761"
"490","17/04/2018","26/04/2018","A914","LPE","A1763","Euphrasia anglica",0,1,"W","0","8",2018-07-23,16.1,"7.7","4","1","6","2.1","0.35","Euphrasia anglica","A1766"
